,state_name,assembly_constituency_number,assembly_ constituency_name,candidate_name, SEX , AGE , CATEGORY ,party_name, SYMBOL , GENERAL , POSTAL , TOTAL , % VOTES POLLED ,total_votes_in_state
322,Maharashtra,30,Akola West,Rahul Ashok Jadhao,MALE,39.0,SC,IND,Spanner,201,,201,0.118614862,332220.0
323, TURNOUT , TOTAL : ,,,,,,,,168678,778.0,169456,51.00716393,
324,Maharashtra,31,Akola East,Randhir Pralhadrao Sawarkar,MALE,45.0,GENERAL,BJP,Lotus,99758,717.0,100475,51.96830438,344835.0
325,Maharashtra,31,Akola East,Bhade Haridas Pandhari,MALE,62.0,GENERAL,VBA,Gas Cylinder,75263,489.0,75752,39.18092056,344835.0
326,Maharashtra,31,Akola East,Vivek Ramrao Paraskar,MALE,59.0,GENERAL,INC,Hand,9444,89.0,9533,4.930717548,344835.0
327,Maharashtra,31,Akola East,NOTA,,,,NOTA,NOTA,2359,22.0,2381,1.231515628,344835.0
328,Maharashtra,31,Akola East,Prafulla Alis Prashant Sahebrao Bharsakal,MALE,44.0,GENERAL,SBBGP,Sewing Machine,824,9.0,833,0.430849441,344835.0
329,Maharashtra,31,Akola East,Ajabrao Ramrao Tale,MALE,57.0,GENERAL,IND,Television,743,,743,0.384299081,344835.0
330,Maharashtra,31,Akola East,Priti Pramod Sadanshiv,FEMALE,25.0,SC,RPIS,Cup & Saucer,706,3.0,709,0.366713389,344835.0
331,Maharashtra,31,Akola East,Athawale Sanjay Gopalrao,MALE,47.0,SC,IND,Kettle,627,1.0,628,0.324818066,344835.0
332,Maharashtra,31,Akola East,Harshal Ashok Shirsat,MALE,28.0,SC,BMUP,Cot,615,1.0,616,0.318611351,344835.0
333,Maharashtra,31,Akola East,Sheshrao Bhaurao Khadse,MALE,55.0,GENERAL,BSP,Elephant,478,7.0,485,0.250854716,344835.0
334,Maharashtra,31,Akola East,Mahendra Ramesh Bhojane,MALE,37.0,SC,IND,Bat,430,2.0,432,0.223441727,344835.0
335,Maharashtra,31,Akola East,Nikhil Malti Bhonde,MALE,46.0,SC,PPID,Black Board,298,2.0,300,0.155167866,344835.0
336,Maharashtra,31,Akola East,Anil Bapurao Kaple,MALE,45.0,GENERAL,IND,Spanner,257,1.0,258,0.133444365,344835.0
337,Maharashtra,31,Akola East,Ashok Bhimrao Koltake,MALE,60.0,GENERAL,IND,Throwing a Javelin,193,1.0,194,0.100341887,344835.0
338, TURNOUT , TOTAL : ,,,,,,,,191995,1344.0,193339,56.06710456,
339,Maharashtra,32,Murtizapur ,Harish Marotiappa Pimpale,MALE,42.0,SC,BJP,Lotus,59240,287.0,59527,33.92451088,321817.0
340,Maharashtra,32,Murtizapur ,Awachar Pratibha Prabhakar,FEMALE,52.0,SC,VBA,Gas Cylinder,57399,218.0,57617,32.83599952,321817.0
341,Maharashtra,32,Murtizapur ,Ravikumar Rameshchandra Rathi,MALE,46.0,SC,NCP,Clock,40849,306.0,41155,23.45428537,321817.0
342,Maharashtra,32,Murtizapur ,Rajkumar Narayanrao Nachane,MALE,51.0,SC,PHJSP,Cup & Saucer,8725,39.0,8764,4.994614433,321817.0
343,Maharashtra,32,Murtizapur ,Ashish Shankarappa Bare,MALE,30.0,SC,IND,Spanner,2443,2.0,2445,1.393408522,321817.0
344,Maharashtra,32,Murtizapur ,NOTA,,,,NOTA,NOTA,1211,14.0,1225,0.698129014,321817.0
345,Maharashtra,32,Murtizapur ,Ravi Nagorao Meshram,MALE,34.0,SC,BSP,Elephant,846,4.0,850,0.484416051,321817.0
346,Maharashtra,32,Murtizapur ,Gautam Namdeo Kankal,MALE,49.0,SC,MPS(T),Trumpet,785,,785,0.44737247,321817.0
347,Maharashtra,32,Murtizapur ,Milind Arjun Jamnik,MALE,37.0,SC,IND,Sewing Machine,511,1.0,512,0.291789433,321817.0
348,Maharashtra,32,Murtizapur ,Pandurang Moropant Ingale,MALE,65.0,SC,BVA,Whistle,496,3.0,499,0.284380717,321817.0
349,Maharashtra,32,Murtizapur ,Baliram Gonduji Ingle,MALE,68.0,SC,IND,Auto- Rickshaw,488,,488,0.278111803,321817.0
350,Maharashtra,32,Murtizapur ,Pravina Laxman Bhatkar,FEMALE,58.0,SC,BMUP,Cot,485,,485,0.2764021,321817.0
351,Maharashtra,32,Murtizapur ,Sudarshan Pralhad Suradkar,MALE,54.0,SC,PPID,Black Board,431,2.0,433,0.246767235,321817.0
352,Maharashtra,32,Murtizapur ,Rajesh Tulshiram Khade,MALE,44.0,SC,IND,Tractor Chalata Kissan,387,4.0,391,0.222831383,321817.0
353,Maharashtra,32,Murtizapur ,Dipak Ramchandra Ingle,MALE,55.0,SC,IND,Table,293,,293,0.166981062,321817.0
354, TURNOUT , TOTAL : ,,,,,,,,174589,880.0,175469,54.52446577,
355,Maharashtra,33,Risod,Amit Subhashrao Zanak,MALE,33.0,GENERAL,INC,Hand,69167,708.0,69875,34.01617198,308878.0
356,Maharashtra,33,Risod,Anantrao Vitthalrao Deshmukh,MALE,70.0,GENERAL,IND,Key,67204,530.0,67734,32.97390187,308878.0
357,Maharashtra,33,Risod,Dilip Rambhau Jadhao,MALE,54.0,GENERAL,VBA,Gas Cylinder,34360,115.0,34475,16.78293423,308878.0
358,Maharashtra,33,Risod,Sanap Vishwnath Ashruji,MALE,48.0,GENERAL,SHS,Bow and Arrow,22954,121.0,23075,11.23324749,308878.0
359,Maharashtra,33,Risod,NOTA,,,,NOTA,NOTA,1529,5.0,1534,0.746773636,308878.0
360,Maharashtra,33,Risod,Vishwanath Tukaram Shevale,MALE,64.0,GENERAL,IND,Almirah,1397,8.0,1405,0.683974549,308878.0
361,Maharashtra,33,Risod,Chetan Wamanrao Ingale,MALE,34.0,GENERAL,IND,Spanner,1039,,1039,0.505800396,308878.0
362,Maharashtra,33,Risod,Tasvarkha Gulam Gauskha,MALE,34.0,GENERAL,IND,Bat,988,,988,0.48097285,308878.0
363,Maharashtra,33,Risod,Anil Rangrao Ghuge,MALE,37.0,GENERAL,IND,Helicopter,746,,746,0.363163711,308878.0
364,Maharashtra,33,Risod,Dattarao Bhikaji Dhande,MALE,52.0,SC,AIMIM,Kite,678,1.0,679,0.330547131,308878.0
365,Maharashtra,33,Risod,Prashant Vishnu Bakal,MALE,28.0,GENERAL,IND,Cup & Saucer,650,,650,0.316429507,308878.0
366,Maharashtra,33,Risod,Dr. Prashant Gawande Patil,MALE,46.0,GENERAL,SBBGP,Sewing Machine,639,,639,0.311074546,308878.0
367,Maharashtra,33,Risod,She. Khaja She. Farid,MALE,43.0,GENERAL,BSP,Elephant,594,4.0,598,0.291115146,308878.0
368,Maharashtra,33,Risod,Rajesh Shrikrushna Ambhore,MALE,38.0,SC,BVA,Whistle,596,,596,0.290141517,308878.0
369,Maharashtra,33,Risod,Vijaykumar Wamanrao Ulhamale,MALE,44.0,GENERAL,MNS,Railway Engine,586,,586,0.285273371,308878.0
370,Maharashtra,33,Risod,Dr. Radhakisan Madhukarrao Kshirsagar,MALE,44.0,GENERAL,IND,Tractor Chalata Kissan,486,,486,0.236591908,308878.0
371,Maharashtra,33,Risod,Dr. Rajiv Nandkishor Agrawal,MALE,54.0,GENERAL,IND,Auto- Rickshaw,312,,312,0.151886163,308878.0
372, TURNOUT , TOTAL : ,,,,,,,,203925,1492.0,205417,66.50425087,
373,Maharashtra,34,Washim ,Lakhan Sahadeo Malik,MALE,62.0,SC,BJP,Lotus,65641,518.0,66159,32.0021477,349279.0
374,Maharashtra,34,Washim ,Siddharth Akaramji Deole,MALE,44.0,SC,VBA,Gas Cylinder,52050,414.0,52464,25.37766104,349279.0
375,Maharashtra,34,Washim ,Pendharkar Shashikant Yashwantrao,MALE,51.0,SC,IND,Ring,45072,335.0,45407,21.96407927,349279.0
376,Maharashtra,34,Washim ,Rajani Mahadev Rathod,FEMALE,55.0,SC,INC,Hand,30493,223.0,30716,14.85781177,349279.0
377,Maharashtra,34,Washim ,Dr. Bharat Laxman Nandure,MALE,34.0,SC,CPI,Ears of Corn And Sickle,1651,4.0,1655,0.800549501,349279.0
378,Maharashtra,34,Washim ,NOTA,,,,NOTA,NOTA,1478,13.0,1491,0.721220125,349279.0
379,Maharashtra,34,Washim ,Sachin Wamanrao Pattebahadur,MALE,40.0,SC,IND,Whistle,1408,3.0,1411,0.682522868,349279.0
380,Maharashtra,34,Washim ,Mahada Ashru Hiwale,MALE,33.0,SC,VMP,Television,1408,3.0,1411,0.682522868,349279.0
381,Maharashtra,34,Washim ,Bhalerao Dipak Ramesh,MALE,29.0,SC,IND,Auto- Rickshaw,1313,1.0,1314,0.635602444,349279.0
382,Maharashtra,34,Washim ,Rahul Jaikumar Balkhande,MALE,31.0,SC,SBBGP,Sewing Machine,1066,8.0,1074,0.519510673,349279.0
383,Maharashtra,34,Washim ,Santosh Bansi Kodisangat,MALE,38.0,SC,PHJSP,Cup & Saucer,1066,3.0,1069,0.517092095,349279.0
384,Maharashtra,34,Washim ,Bhagwat Sakharam Ranbawale,MALE,47.0,SC,IND,Camera,977,1.0,978,0.473073965,349279.0
385,Maharashtra,34,Washim ,Dilip Pandurang Bhojraj,MALE,55.0,SC,BSP,Elephant,840,6.0,846,0.409223491,349279.0
386,Maharashtra,34,Washim ,Saurabh Ravindra Gaikwad,MALE,25.0,SC,BMUP,Cot,737,1.0,738,0.356982194,349279.0
387, TURNOUT , TOTAL : ,,,,,,,,205200,1533.0,206733,59.18849974,
388,Maharashtra,35,Karanja,PATNI RAJENDRA SUKHANAND,MALE,55.0,GENERAL,BJP,Lotus,72830,375.0,73205,39.28529263,301654.0
389,Maharashtra,35,Karanja,DAHAKE PRAKASH UTTAMRAO,MALE,66.0,GENERAL,NCP,Clock,49882,599.0,50481,27.090511,301654.0
390,Maharashtra,35,Karanja,MO. YUSUF MO. SHAFI PUNJANI,MALE,44.0,GENERAL,BSP,Elephant,41752,155.0,41907,22.48929388,301654.0
391,Maharashtra,35,Karanja,DR. RAM SHESHRAO CHAVHAN,MALE,44.0,GENERAL,VBA,Gas Cylinder,12419,74.0,12493,6.704339333,301654.0
392,Maharashtra,35,Karanja,DR. SUBHASH PANDURANG RATHOD,MALE,56.0,GENERAL,MNS,Railway Engine,2148,12.0,2160,1.159158966,301654.0
393,Maharashtra,35,Karanja,DIGAMBAR NARENDRA CHAVHAN,MALE,32.0,GENERAL,IND,SHIP,1811,5.0,1816,0.974552168,301654.0
394,Maharashtra,35,Karanja,NOTA,,,,NOTA,NOTA,1140,2.0,1142,0.612851638,301654.0
395,Maharashtra,35,Karanja,ANNASAHEB UTTAM RODGE,MALE,58.0,SC,IND,Television,566,,566,0.303742581,301654.0
396,Maharashtra,35,Karanja,VINOD PANJABRAO NANDAGAVALI,MALE,32.0,SC,IND,Spanner,495,,495,0.265640596,301654.0
397,Maharashtra,35,Karanja,ADESH RAMBHAU GAWAI,MALE,44.0,SC,BMUP,Cot,407,5.0,412,0.22109884,301654.0
398,Maharashtra,35,Karanja,MANISH DAMODAR MODAK,MALE,43.0,GENERAL,PHJSP,Cup & Saucer,408,,408,0.218952249,301654.0
399,Maharashtra,35,Karanja,KARIM SATTAR SHEIKH,MALE,32.0,GENERAL,RUC,Whistle,369,,369,0.19802299,301654.0
400,Maharashtra,35,Karanja,CO. RAMKRUSHNA PUNDLIKRAO SAWAKE,MALE,44.0,GENERAL,CPIM,Tractor Chalata Kissan,278,,278,0.149188052,301654.0
401,Maharashtra,35,Karanja,MANIK MAHADEVRAO PAWADE,MALE,46.0,GENERAL,SBBGP,Sewing Machine,263,1.0,264,0.141674985,301654.0
402,Maharashtra,35,Karanja,PURUSHOTTAM NAGOJI THOMBE,MALE,52.0,GENERAL,RPIR,Bat,188,1.0,189,0.10142641,301654.0
403,Maharashtra,35,Karanja,MURLIDHAR LALSING PAWAR,MALE,60.0,GENERAL,VINPA,Battery torch,157,,157,0.084253684,301654.0
404, TURNOUT , TOTAL : ,,,,,,,,185113,1229.0,186342,61.77342253,
405,Maharashtra,36,Dhamamgaon railway,ADSAD PRATAP ARUNBHAU,MALE,41.0,GENERAL,BJP,Lotus,90393,439.0,90832,43.29043942,314698.0
406,Maharashtra,36,Dhamamgaon railway,JAGTAP VIRENDRA WALMIKRAO,MALE,56.0,GENERAL,INC,Hand,80978,335.0,81313,38.75369364,314698.0
407,Maharashtra,36,Dhamamgaon railway,VISHWAKARMA NILESH TARACHAND,MALE,39.0,GENERAL,VBA,Gas Cylinder,23700,79.0,23779,11.33304737,314698.0
